frame,detected,center_x,center_y,angle_deg,handle_x,handle_y,head_x,head_y,quality
0,1,803.3809182209469,759.7855093256815,-106.62176661643744,808.0721777890117,775.5002184755525,798.6896586528821,744.0708001758104,1.1600712035619665
1,1,803.7801950487622,760.3593398349587,-104.05212981336018,807.6650687477035,775.8805432787409,799.8953213498208,744.8381363911766,1.1674485040187252
2,1,802.5676638176639,761.3247863247864,-97.73497880427927,804.8826316148801,778.3682872590971,800.2526960204476,744.2812853904757,1.3097944375379122
3,1,803.0209351011863,761.7773900907188,-101.29530120035045,806.3114792617243,778.2519862656649,799.7303909406482,745.3027939157727,1.213933427704316
4,1,803.1413333333334,761.6966666666667,-117.93196082269472,811.0108351130013,776.5395417836985,795.2718315536654,746.8537915496349,1.1098521329424234
5,1,802.535875888817,761.7278603749191,-106.79812505832388,807.5066839651961,778.1939184055409,797.565067812438,745.2618023442974,1.1542162745819495
6,1,803.433962264151,761.7203504043126,-127.43843454706767,813.4036633667581,774.7420653422413,793.4642611615438,748.698635466384,1.103460173603349
7,1,802.9524133242692,762.2100611828688,26.44023321169386,788.6260242728272,755.0858365410763,817.2788023757112,769.3342858246613,1.1460846748256874
8,1,802.8822733423546,762.1874154262517,28.599709379777565,788.8345068867433,754.5284169533049,816.9300397979658,769.8464138991985,1.141520563932225
9,1,802.3759791122716,762.186684073107,11.56780057212807,785.9172190677539,758.8178240586531,818.8347391567893,765.555544087561,1.262894061363834
10,1,802.3464309102816,763.2180746561886,13.121336861160712,785.9850537918794,759.4042394749797,818.7078080286838,767.0319098373975,1.2703041813069273
11,1,801.877472878111,763.1959157626037,15.802725513409152,785.7124282012091,758.6208386491809,818.0425175550129,767.7709928760265,1.2145030103757826
12,1,796.2014925373135,769.2611940298508,-59.789732531970316,787.9494255292029,783.433822229788,804.453559545424,755.0885658299136,3.1268146557599836
13,1,795.1648351648352,769.7912087912088,-59.30919220396351,786.7941937944443,783.8941291642485,803.535476535226,755.688288418169,2.712373220787772
14,1,794.7764705882353,770.1411764705882,-58.06110876020741,786.5238447298767,783.3795361288674,803.0290964465938,756.9028168123091,3.352849672576371
15,1,793.8167938931298,771.5267175572519,-61.42404350531536,786.163619805248,785.5776579663695,801.4699679810116,757.4757771481343,2.72982134352277
16,1,792.4244604316547,771.9784172661871,-63.66093504632985,785.3255432627707,786.3173633581886,799.5233776005387,757.6394711741856,2.46631646269112
17,1,790.5088339222615,772.3286219081272,-65.36825653730455,784.0069961816026,786.5091051860039,797.0106716629203,758.1481386302504,2.169866786702499
18,1,791.008,772.932,-63.871273503408354,784.1379259781103,786.9377874799583,797.8780740218898,758.9262125200418,2.909107424806556
19,1,789.9375,773.7333333333333,-65.55545831177453,783.8130784100011,787.2066944651355,796.0619215899989,760.2599722015312,2.6122464859465397
20,1,786.9656357388316,774.7731958762887,-78.62003483168175,783.8875287092683,790.0665034686492,790.0437427683948,759.4798882839282,2.1432803791545028
21,1,785.4820143884892,774.7158273381295,-79.69316524551053,782.6908689330621,790.0641010862306,788.2731598439163,759.3675535900285,2.2714314178025212
