frame,x,y,z,qw,qx,qy,qz,confidence,valid
0,4.008154163085308,21.870742393207944,1.0,0.704916241789737,0.7049162417900874,-0.05561331230013319,-0.05561331230007757,1.0,1
1,4.007156645277753,21.879287278535777,1.0,0.7051849441268789,0.7051849441272295,-0.05209552007992125,-0.052095520079869145,1.0,1
2,4.00696260978713,21.887292297068807,1.0,0.7039328491181771,0.703932849118526,-0.06692003939770313,-0.06692003939763622,1.0,1
3,4.0068291328937455,21.895877700605432,1.0,0.7036270445135108,0.7036270445138592,-0.0700623276125609,-0.07006232761249084,1.0,1
4,4.007045294548187,21.903658540861557,1.0,0.7038158495925149,0.7038158495928636,-0.06813954445925743,-0.06813954445918928,1.0,1
5,4.006672131054705,21.907373732844967,1.0,0.7053451143083604,0.7053451143087115,-0.049880040808916545,-0.049880040808866655,1.0,1
6,4.006419645727478,21.91024085238592,1.0,0.7070131329718443,0.7070131329721977,0.01149694477807295,0.011496944778061452,1.0,1
7,4.010321682543376,21.90153451119484,1.0,0.5393562379232664,0.5393562379233423,0.45726843201840967,0.4572684320179525,1.0,1
8,4.0084053978213605,21.90836018303308,1.0,0.33765344021211413,0.33765344021245186,0.6212807984081186,0.6212807984078997,1.0,1
9,4.002258518869827,21.928443587699267,1.0,0.3405637333914971,0.3405637333918376,0.6196902597198223,0.619690259719606,1.0,1
10,3.9931835363853705,21.955094087244277,1.0,0.39406357051963914,0.39406357052003327,0.5871231044421205,0.5871231044419593,1.0,1
11,3.9811745745202685,21.98918297817129,1.0,0.5451076338929274,0.5451076338930139,0.4503967659724597,0.4503967659720094,1.0,1
12,3.969201602704348,22.026679482555195,1.0,0.6792116347234549,0.679211634723766,0.19665015713158351,0.19665015713138684,1.0,1
13,3.954110846567547,22.064843989979774,1.0,0.6982175810083595,0.6982175810086996,0.11176740654067806,0.11176740654056627,1.0,1
14,3.9402300264693677,22.098420719805727,1.0,0.7037025120649716,0.7037025120653201,0.0693002315213072,0.06930023152123789,1.0,1
15,3.9293596429620976,22.12331748079997,1.0,0.7052940575393039,0.7052940575396548,0.050596848845959226,0.050596848845908635,1.0,1
16,3.9206595349355666,22.142957784533998,1.0,0.705783144359544,0.7057831443598956,0.04324236579440439,0.043242365794361144,1.0,1
17,3.906701760165389,22.152403744445866,1.0,0.7062550807055008,0.706255080705853,0.034691647041633966,0.03469164704159927,1.0,1
18,3.8989325250877473,22.163296617178894,1.0,0.7055698346084982,0.7055698346088496,0.04659353388966483,0.04659353388961823,1.0,1
19,3.9021317116385688,22.167376703373073,1.0,0.7053190822321973,0.7053190822325481,0.050246800598222424,0.05024680059817217,1.0,1
20,3.901033603564542,22.174394187674938,1.0,0.7053599752816065,0.7053599752819575,0.04966944766243676,0.04966944766238708,1.0,1
21,3.8966430572248907,22.185806968312647,1.0,0.7060130071714308,0.7060130071717825,0.03931135878685134,0.03931135878681203,1.0,1
22,3.8868564978833318,22.20202220351843,1.0,0.7068806535312105,0.7068806535315637,0.017874325258349193,0.01787432525833132,1.0,1
23,3.872643513894578,22.22153042963652,1.0,0.7071054103318135,0.7071054103321671,-0.0012994916826565167,-0.001299491682655217,1.0,1
24,3.8470294093522863,22.237135922571326,1.0,0.7068659331084428,0.706865933108796,-0.018447288160159264,-0.018447288160140813,1.0,1
25,3.8345956081331325,22.261976887439236,1.0,0.7064400719551504,0.7064400719555031,-0.03069485728956561,-0.03069485728953491,1.0,1
26,3.824978982684277,22.30131282486222,1.0,0.7057961730738634,0.705796173074215,-0.04302918945431535,-0.04302918945427232,1.0,1
27,3.811394463227721,22.35013699002358,1.0,0.7053488960507303,0.7053488960510812,-0.04982653502385566,-0.04982653502380583,1.0,1
28,3.8195134088871368,22.388719629950174,1.0,0.70582120070667,0.7058212007070216,-0.04261668360625961,-0.04261668360621699,1.0,1
